"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","H","All","2001","2017","Assault Other Specified","13","2014","0","448,005",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2014","0","133,888",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2015","0","1,999,920",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2015","0","1,091,482",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2015","0","328,315",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2015","0","447,816",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2015","0","132,307",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2016","0","2,015,176",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2016","0","1,092,744",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2016","0","325,181",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2016","0","457,724",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2016","0","139,527",".","0"
"F","A","All","2001","2017","Assault Other Specified","13","2017","0","2,035,757",".","0"
"F","W","All","2001","2017","Assault Other Specified","13","2017","0","1,095,657",".","0"
"F","B","All","2001","2017","Assault Other Specified","13","2017","0","329,574",".","0"
"F","H","All","2001","2017","Assault Other Specified","13","2017","0","467,770",".","0"
"F","O","All","2001","2017","Assault Other Specified","13","2017","0","142,756",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2001","33","1,979,876","3","0.4"
"F","W","All","2001","2017","Assault Other Specified","14","2001","0","1,265,309",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2001","12","319,681","1","1"
"F","H","All","2001","2017","Assault Other Specified","14","2001","12","294,172","1","1"
"F","O","All","2001","2017","Assault Other Specified","14","2001","0","100,714",".","0"
"F","N","All","2001","2017","Assault Other Specified","14","2001","9",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2002","28","2,015,047","3","0.408"
"F","W","All","2001","2017","Assault Other Specified","14","2002","9","1,269,970","1","1"
"F","B","All","2001","2017","Assault Other Specified","14","2002","9","330,551","1","1"
"F","H","All","2001","2017","Assault Other Specified","14","2002","9","309,276","1","1"
"F","O","All","2001","2017","Assault Other Specified","14","2002","0","105,250",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2003","117","2,058,247","1","1"
"F","W","All","2001","2017","Assault Other Specified","14","2003","117","1,282,393","1","1"
"F","B","All","2001","2017","Assault Other Specified","14","2003","0","344,617",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2003","0","322,265",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2003","0","108,972",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2004","62","2,147,180","5","0.589"
"F","W","All","2001","2017","Assault Other Specified","14","2004","20","1,315,398","2","1"
"F","B","All","2001","2017","Assault Other Specified","14","2004","20","367,236","2","0.612"
"F","H","All","2001","2017","Assault Other Specified","14","2004","0","352,311",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2004","0","112,235",".","0"
"F","N","All","2001","2017","Assault Other Specified","14","2004","22",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2005","40","2,122,621","3","0.627"
"F","W","All","2001","2017","Assault Other Specified","14","2005","9","1,283,582","1","1"
"F","B","All","2001","2017","Assault Other Specified","14","2005","0","362,921",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2005","9","363,385","1","1"
"F","O","All","2001","2017","Assault Other Specified","14","2005","0","112,733",".","0"
"F","N","All","2001","2017","Assault Other Specified","14","2005","23",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2006","146","2,102,559","2","0.858"
"F","W","All","2001","2017","Assault Other Specified","14","2006","0","1,250,894",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2006","23","360,816","1","1"
"F","H","All","2001","2017","Assault Other Specified","14","2006","0","376,592",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2006","123","114,257","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2007","8","2,074,283","1","1"
"F","W","All","2001","2017","Assault Other Specified","14","2007","8","1,216,165","1","1"
"F","B","All","2001","2017","Assault Other Specified","14","2007","0","357,809",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2007","0","385,026",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2007","0","115,283",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2008","0","2,046,376",".","0"
"F","W","All","2001","2017","Assault Other Specified","14","2008","0","1,186,537",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2008","0","350,345",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2008","0","393,186",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2008","0","116,308",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2009","0","2,039,626",".","0"
"F","W","All","2001","2017","Assault Other Specified","14","2009","0","1,175,302",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2009","0","342,211",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2009","0","403,609",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2009","0","118,504",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2010","0","2,030,439",".","0"
"F","W","All","2001","2017","Assault Other Specified","14","2010","0","1,163,428",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2010","0","335,025",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2010","0","410,319",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2010","0","121,667",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2011","90","2,020,707","1","1"
"F","W","All","2001","2017","Assault Other Specified","14","2011","0","1,148,040",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2011","0","334,065",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2011","0","414,894",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2011","0","123,708",".","0"
"F","N","All","2001","2017","Assault Other Specified","14","2011","90",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2012","24","2,021,145","1","1"
"F","W","All","2001","2017","Assault Other Specified","14","2012","0","1,139,270",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2012","24","335,841","1","1"
"F","H","All","2001","2017","Assault Other Specified","14","2012","0","421,113",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2012","0","124,921",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2013","0","2,027,950",".","0"
"F","W","All","2001","2017","Assault Other Specified","14","2013","0","1,136,553",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2013","0","335,911",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2013","0","430,220",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2013","0","125,266",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2014","177","2,068,470","2","0.632"
"F","W","All","2001","2017","Assault Other Specified","14","2014","89","1,143,660","1","1"
"F","B","All","2001","2017","Assault Other Specified","14","2014","0","345,715",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2014","0","446,482",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2014","0","132,613",".","0"
"F","N","All","2001","2017","Assault Other Specified","14","2014","89",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2015","85","2,048,407","1","1"
"F","W","All","2001","2017","Assault Other Specified","14","2015","0","1,122,702",".","0"
